FUNCAO,STATUS,Dialect,6,7,8,9,10,11,12,13,14,15,16,17
ISCLOSED,NOK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
ISEMPTY,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
ISFINITE,NOK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
ISOPEN,NOK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
JSON,OK,NOK,N,N,N,N,N,N,N,N,N,N,N,S
JSON_AGG,OK,OK,N,N,N,N,S,S,S,S,S,S,S,S
JSON_AGG_STRICT,NOK,NOK,N,N,N,N,N,N,N,N,N,N,S,S
JSON_ARRAY,OK,OK,N,N,N,N,N,N,N,N,N,N,S,S
JSON_ARRAY_ELEMENTS,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_ARRAY_ELEMENTS_TEXT,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_ARRAY_LENGTH,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_ARRAYAGG,OK,OK,N,N,N,N,N,N,N,N,N,N,S,S
JSON_BUILD_ARRAY,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_BUILD_OBJECT,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_EACH,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_EACH_TEXT,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_EXISTS,NOK,NOK,N,N,N,N,N,N,N,N,N,N,N,S
JSON_EXTRACT_PATH,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_EXTRACT_PATH_TEXT,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_OBJECT,OK,OK,N,N,N,N,S,S,S,S,S,S,S,S
JSON_OBJECT_AGG,OK,OK,N,N,N,N,S,S,S,S,S,S,S,S
JSON_OBJECT_AGG_STRICT,OK,OK,N,N,N,N,N,N,N,N,N,N,S,S
JSON_OBJECT_AGG_UNIQUE,OK,OK,N,N,N,N,N,N,N,N,N,N,S,S
JSON_OBJECT_AGG_UNIQUE_STRICT,OK,OK,N,N,N,N,N,N,N,N,N,N,S,S
JSON_OBJECT_KEYS,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_OBJECTAGG,OK,OK,N,N,N,N,N,N,N,N,N,N,S,S
JSON_POPULATE_RECORD,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_POPULATE_RECORDSET,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_QUERY,OK,OK,N,N,N,N,N,N,N,N,N,N,N,S
JSON_SCALAR,OK,OK,N,N,N,N,N,N,N,N,N,N,N,S
JSON_SERIALIZE,OK,OK,N,N,N,N,N,N,N,N,N,N,N,S
JSON_STRIP_NULLS,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
