FUNCAO,STATUS,6,7,8,9,10,11,12,13,14,15,16,17
LEFT,OK,N,N,N,N,N,N,N,S,S,S,S,S
LENGTH,OK,N,N,S,S,S,S,S,S,S,S,S,S
LIKE,OK,S,S,S,S,S,S,S,S,S,S,S,S
LINE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
LN,NOK,S,S,S,N,N,N,N,S,S,S,S,S
LOCALTIME,NOK,N,N,S,S,S,S,S,S,S,S,S,S
LOCALTIMESTAMP,NOK,N,N,S,S,S,S,S,S,S,S,S,S
LOG,NOK,N,N,S,N,N,N,N,S,S,S,S,S
LOG10,NOK,N,N,N,N,N,N,N,S,S,S,S,S
LOWER,OK,N,N,S,N,S,S,S,S,S,S,S,S
LOWER_INC,NOK,N,N,N,N,S,S,S,S,S,S,S,S
LOWER_INF,NOK,N,N,N,N,S,S,S,S,S,S,S,S
LPAD,NOK,N,N,S,N,N,N,N,S,S,S,S,S
LSEG,NOK,N,N,S,N,N,N,N,S,S,S,S,S
LTRIM,NOK,N,N,S,N,N,N,N,S,S,S,S,S
MACADDR8_SET7BIT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
MAKE_DATE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
MAKE_INTERVAL,NOK,N,N,N,N,N,N,N,S,S,S,S,S
MAKE_TIME,NOK,N,N,N,N,N,N,N,S,S,S,S,S
MAKE_TIMESTAMP,NOK,N,N,N,N,N,N,N,S,S,S,S,S
MAKE_TIMESTAMPTZ,NOK,N,N,N,N,N,N,N,S,S,S,S,S
MAKEACLITEM,NOK,N,N,N,N,N,N,S,S,S,S,S,S
MASKLEN,NOK,N,N,S,N,N,N,N,S,S,S,S,S
MAX,OK,N,N,S,N,N,N,N,S,S,S,S,S
MD5,NOK,N,N,S,N,N,S,S,S,S,S,S,S
MERGE_ACTION,NOK,N,N,N,N,N,N,N,N,N,N,N,S
MIN,OK,N,N,S,N,N,N,N,S,S,S,S,S
MIN_SCALE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
MOD,NOK,N,N,S,N,N,N,N,S,S,S,S,S
MODE,OK,N,N,N,N,N,N,N,S,S,S,S,S
MULTIRANGE,NOK,N,N,N,N,N,N,N,N,S,S,S,S
MXID_AGE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
NETMASK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
NETWORK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
NEXTVAL,OK,N,N,S,S,S,S,S,S,S,S,S,S
NORMALIZE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
NOT ILIKE,NOK,S,S,S,S,S,S,S,S,S,S,S,S
NOT LIKE,NOK,S,S,S,S,S,S,S,S,S,S,S,S
NOW,OK,S,S,S,S,S,S,S,S,S,S,S,S
NPOINTS,NOK,N,N,S,N,N,N,N,S,S,S,S,S
NTH_VALUE,OK,N,N,N,S,S,S,S,S,S,S,S,S
NTILE,OK,N,N,N,N,N,N,N,S,S,S,S,S
NULLIF,OK,S,S,S,S,S,S,S,S,S,S,S,S
NUM_NONNULLS,NOK,N,N,N,N,N,N,N,S,S,S,S,S
NUM_NULLS,NOK,N,N,N,N,N,N,N,S,S,S,S,S
NUMNODE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
NVL,OK,N,N,N,S,S,S,S,S,S,S,S,S
