FUNCAO,STATUS,30,40,55,56,57,80,84
LOCALTIMESTAMP,NOK,S,S,S,S,S,S,S
LOCATE,NOK,S,S,S,S,S,S,N
LOG,NOK,S,S,S,S,S,S,S
LOG10,NOK,S,S,S,S,S,S,N
LOG2,NOK,S,S,S,S,S,S,S
LOWER,OK,S,S,S,S,S,S,N
LPAD,NOK,S,S,S,S,S,S,S
LTRIM,NOK,S,S,S,S,S,S,N
MAKE_SET,NOK,S,S,S,S,S,S,S
MAKEDATE,NOK,S,S,S,S,S,S,N
MAKETIME,NOK,S,S,S,S,S,S,S
MASTER_POS_WAIT,NOK,S,S,S,S,S,S,N
MAX,OK,S,S,S,S,S,S,N
MBRCONTAINS,NOK,N,N,N,S,S,S,S
MBRCOVEREDBY,NOK,N,N,N,S,S,S,N
MBRCOVERS,NOK,N,N,N,S,S,S,S
MBRDISJOINT,NOK,N,N,N,S,S,S,N
MBREQUAL,NOK,N,N,N,S,S,N,N
MBREQUALS,NOK,N,N,N,S,S,S,S
MBRINTERSECTS,NOK,N,N,N,S,S,S,N
MBROVERLAPS,NOK,N,N,N,S,S,S,S
MBRTOUCHES,NOK,N,N,N,S,S,S,N
MBRWITHIN,NOK,N,N,N,S,S,S,S
MD5,NOK,S,S,S,S,S,S,N
MEMBER OF,NOK,N,N,N,N,N,S,S
MICROSECOND,NOK,S,S,S,S,S,S,N
MID,NOK,S,S,S,S,S,S,S
MIN,OK,S,S,S,S,S,S,N
MINUTE,OK,S,S,S,S,S,S,S
MLINEFROMTEXT,NOK,N,N,N,S,S,N,N
MLINEFROMWKB,NOK,N,N,N,S,S,N,N
MOD,NOK,S,S,S,S,S,S,N
MONTH,OK,S,S,S,S,S,S,S
MONTHNAME,NOK,S,S,S,S,S,S,N
MPOINTFROMTEXT,NOK,N,N,N,S,S,N,N
MPOINTFROMWKB,NOK,N,N,N,S,S,N,N
MPOLYFROMTEXT,NOK,N,N,N,S,S,N,N
MPOLYFROMWKB,NOK,N,N,N,S,S,N,N
MULTILINESTRING,NOK,N,N,N,S,S,S,S
MULTIPOINT,NOK,N,N,N,S,S,S,N
MULTIPOLYGON,NOK,N,N,N,S,S,S,S
NAME_CONST,NOK,S,S,S,S,S,S,N
NOT EXISTS,NOK,N,N,N,S,S,S,S
NOW,OK,S,S,S,S,S,S,S
NTH_VALUE,OK,N,N,N,N,N,S,N
NTILE,OK,N,N,N,N,N,S,S
NULLIF,OK,S,S,S,S,S,S,N
NUMGEOMETRIES,NOK,N,N,N,S,S,N,N
NUMINTERIORRINGS,NOK,N,N,N,S,S,N,N
NUMPOINTS,NOK,N,N,N,S,S,N,N
OCT,NOK,S,S,S,S,S,S,S
OCTET_LENGTH,NOK,S,S,S,S,S,S,N
OLD_PASSWORD,NOK,S,S,S,N,N,N,N
ORD,NOK,S,S,S,S,S,S,N
OVERLAPS,NOK,N,N,N,S,S,N,N
PASSWORD,NOK,S,S,S,S,S,N,N
PERCENT_RANK,OK,N,N,N,N,N,S,S
PERIOD_ADD,NOK,S,S,S,S,S,S,N
PERIOD_DIFF,NOK,S,S,S,S,S,S,S
PI,NOK,S,S,S,S,S,S,N
POINT,NOK,N,N,N,S,S,S,S
POINTFROMTEXT,NOK,N,N,N,S,S,N,N
POINTFROMWKB,NOK,N,N,N,S,S,N,N
POINTN,NOK,N,N,N,S,S,N,N
POLYFROMTEXT,NOK,N,N,N,S,S,N,N
POLYFROMWKB,NOK,N,N,N,S,S,N,N
POLYGON,NOK,N,N,N,S,S,S,N
POSITION,NOK,S,S,S,S,S,S,S
POW,NOK,S,S,S,S,S,S,N
POWER,NOK,S,S,S,S,S,S,S
PROCEDURE ANALYSE,NOK,N,N,N,S,S,N,N
PS_CURRENT_THREAD_ID,NOK,N,N,N,N,N,S,N
PS_THREAD_ID,NOK,N,N,N,N,N,S,S
QUARTER,NOK,S,S,S,S,S,S,N
QUOTE,NOK,S,S,S,S,S,S,S
RADIANS,NOK,S,S,S,S,S,S,N
RAND,NOK,S,S,S,S,S,S,S
RANDOM_BYTES,NOK,N,N,N,S,S,S,N
RANK,OK,N,N,N,N,N,S,S
REGEXP_INSTR,NOK,N,N,N,N,N,S,S
REGEXP_LIKE,NOK,N,N,N,N,N,S,N
REGEXP_REPLACE,NOK,N,N,N,N,N,S,S
REGEXP_SUBSTR,NOK,N,N,N,N,N,S,N
RELEASE_ALL_LOCKS,NOK,N,N,N,S,S,S,S
RELEASE_LOCK,NOK,S,S,S,S,S,S,N
REPEAT,NOK,S,S,S,S,S,S,S
REPLACE,OK,S,S,S,S,S,S,N
REVERSE,NOK,S,S,S,S,S,S,S
RIGHT,OK,S,S,S,S,S,S,N
ROLES_GRAPHML,NOK,N,N,N,N,N,S,N
ROUND,NOK,S,S,S,S,S,S,S
ROW_COUNT,OK,S,S,S,S,S,S,N
ROW_NUMBER,OK,N,N,N,N,N,S,S
RPAD,NOK,S,S,S,S,S,S,N
RTRIM,NOK,S,S,S,S,S,S,S
SCHEMA,NOK,S,S,S,S,S,S,N
SEC_TO_TIME,NOK,S,S,S,S,S,S,S
SECOND,OK,S,S,S,S,S,S,N
SESSION_USER,NOK,S,S,S,S,S,S,S
SHA,NOK,S,S,S,N,N,N,N
SHA1,NOK,S,S,S,S,S,S,N
SHA2,NOK,S,S,S,S,S,S,S
SIGN,OK,S,S,S,S,S,S,N
SIN,NOK,S,S,S,S,S,S,S
SLEEP,NOK,S,S,S,S,S,S,N
SOUNDEX,NOK,S,S,S,S,S,S,S
SOURCE_POS_WAIT,NOK,N,N,N,N,N,S,S
SPACE,NOK,S,S,S,S,S,S,N
SQRT,NOK,S,S,S,S,S,S,S
SRID,NOK,N,N,N,S,S,N,N
ST_AREA,NOK,N,N,N,S,S,S,N
ST_ASBINARY,NOK,N,N,N,S,S,S,S
ST_ASGEOJSON,NOK,N,N,N,S,S,S,N
ST_ASTEXT,NOK,N,N,N,S,S,S,S
ST_BUFFER,NOK,N,N,N,S,S,S,N
ST_BUFFER_STRATEGY,NOK,N,N,N,S,S,S,S
ST_CENTROID,NOK,N,N,N,S,S,S,N
ST_COLLECT,NOK,N,N,N,N,N,S,S
ST_CONTAINS,NOK,N,N,N,S,S,S,N
ST_CONVEXHULL,NOK,N,N,N,S,S,S,S
ST_CROSSES,NOK,N,N,N,S,S,S,N
ST_DIFFERENCE,NOK,N,N,N,S,S,S,S
ST_DIMENSION,NOK,N,N,N,S,S,S,N
ST_DISJOINT,NOK,N,N,N,S,S,S,S
ST_DISTANCE,NOK,N,N,N,S,S,S,N
ST_DISTANCE_SPHERE,NOK,N,N,N,S,S,S,S
ST_ENDPOINT,NOK,N,N,N,S,S,S,N
ST_ENVELOPE,NOK,N,N,N,S,S,S,S
ST_EQUALS,NOK,N,N,N,S,S,S,N
ST_EXTERIORRING,NOK,N,N,N,S,S,S,S
ST_FRECHETDISTANCE,NOK,N,N,N,N,N,S,N
ST_GEOHASH,NOK,N,N,N,S,S,S,S
ST_GEOMCOLLFROMTEXT,NOK,N,N,N,S,S,S,N
ST_GEOMCOLLFROMWKB,NOK,N,N,N,S,S,S,S
ST_GEOMETRYN,NOK,N,N,N,S,S,S,N
ST_GEOMETRYTYPE,NOK,N,N,N,S,S,S,S
ST_GEOMFROMGEOJSON,NOK,N,N,N,S,S,S,N
ST_GEOMFROMTEXT,NOK,N,N,N,S,S,S,S
ST_GEOMFROMWKB,NOK,N,N,N,S,S,S,N
ST_HAUSDORFFDISTANCE,NOK,N,N,N,N,N,S,S
ST_INTERIORRINGN,NOK,N,N,N,S,S,S,N
ST_INTERSECTION,NOK,N,N,N,S,S,S,S
ST_INTERSECTS,NOK,N,N,N,S,S,S,N
ST_ISCLOSED,NOK,N,N,N,S,S,S,S
ST_ISEMPTY,NOK,N,N,N,S,S,S,N
ST_ISSIMPLE,NOK,N,N,N,S,S,S,S
ST_ISVALID,NOK,N,N,N,S,S,S,N
ST_LATFROMGEOHASH,NOK,N,N,N,S,S,S,S
ST_LATITUDE,NOK,N,N,N,N,N,S,N
ST_LENGTH,NOK,N,N,N,S,S,S,S
ST_LINEFROMTEXT,NOK,N,N,N,S,S,S,N
ST_LINEFROMWKB,NOK,N,N,N,S,S,S,S
ST_LINEINTERPOLATEPOINT,NOK,N,N,N,N,N,S,N
ST_LINEINTERPOLATEPOINTS,NOK,N,N,N,N,N,S,S
ST_LONGFROMGEOHASH,NOK,N,N,N,S,S,S,N
ST_LONGITUDE,NOK,N,N,N,N,N,S,S
ST_MAKEENVELOPE,NOK,N,N,N,S,S,S,N
ST_MLINEFROMTEXT,NOK,N,N,N,S,S,S,S
ST_MLINEFROMWKB,NOK,N,N,N,S,S,S,N
ST_MPOINTFROMTEXT,NOK,N,N,N,S,S,S,S
ST_MPOINTFROMWKB,NOK,N,N,N,S,S,S,N
ST_MPOLYFROMTEXT,NOK,N,N,N,S,S,S,S
ST_MPOLYFROMWKB,NOK,N,N,N,S,S,S,N
ST_NUMGEOMETRIES,NOK,N,N,N,S,S,S,S
ST_NUMINTERIORRING,NOK,N,N,N,S,S,S,N
ST_NUMPOINTS,NOK,N,N,N,S,S,S,S
ST_OVERLAPS,NOK,N,N,N,S,S,S,N
ST_POINTATDISTANCE,NOK,N,N,N,N,N,S,S
ST_POINTFROMGEOHASH,NOK,N,N,N,S,S,S,N
ST_POINTFROMTEXT,NOK,N,N,N,S,S,S,S
ST_POINTFROMWKB,NOK,N,N,N,S,S,S,N
ST_POINTN,NOK,N,N,N,S,S,S,S
ST_POLYFROMTEXT,NOK,N,N,N,S,S,S,N
ST_POLYFROMWKB,NOK,N,N,N,S,S,S,S
ST_SIMPLIFY,NOK,N,N,N,S,S,S,N
ST_SRID,NOK,N,N,N,S,S,S,S
ST_STARTPOINT,NOK,N,N,N,S,S,S,N
ST_SWAPXY,NOK,N,N,N,N,N,S,S
ST_SYMDIFFERENCE,NOK,N,N,N,S,S,S,N
ST_TOUCHES,NOK,N,N,N,S,S,S,S
ST_TRANSFORM,NOK,N,N,N,N,N,S,N
ST_UNION,NOK,N,N,N,S,S,S,S
ST_VALIDATE,NOK,N,N,N,S,S,S,N
ST_WITHIN,NOK,N,N,N,S,S,S,S
ST_X,NOK,N,N,N,S,S,S,N
ST_Y,NOK,N,N,N,S,S,S,S
STARTPOINT,NOK,N,N,N,S,S,N,N
STATEMENT_DIGEST,NOK,N,N,N,N,N,S,N
STATEMENT_DIGEST_TEXT,NOK,N,N,N,N,N,S,S
STD,NOK,S,S,S,S,S,S,N
STDDEV,NOK,S,S,S,S,S,S,S
STDDEV_POP,NOK,S,S,S,S,S,S,N
