FUNCAO,STATUS,Dialect,7,2000,2005,2008,2012,2014,2016,2017,2019,2022
SUM,OK,OK,S,S,S,S,S,S,S,S,S,S
SUSER_ID,OK,OK,S,S,S,S,S,S,S,S,S,S
SUSER_NAME,OK,OK,S,S,S,S,S,S,S,S,S,S
SUSER_SID,NOK,NOK,S,S,S,S,S,S,S,S,S,S
SUSER_SNAME,OK,OK,S,S,S,S,S,S,S,S,S,S
SWITCHOFFSET,NOK,NOK,S,S,S,S,S,S,S,S,S,S
SYSDATETIME,OK,OK,N,N,N,S,S,S,S,S,S,S
SYSDATETIMEOFFSET,NOK,OK,N,N,N,S,S,S,S,S,S,S
SYSTEM_USER,OK,OK,S,S,S,S,S,S,S,S,S,S
SYSUTCDATETIME,NOK,OK,N,N,N,S,S,S,S,S,S,S
TAN,OK,OK,S,S,S,S,S,S,S,S,S,S
TIMEFROMPARTS,NOK,OK,N,N,N,N,S,S,S,S,S,S
TODATETIMEOFFSET,NOK,NOK,S,S,S,S,S,S,S,S,S,S
TRANSLATE,NOK,NOK,N,N,N,N,N,N,N,S,S,S
TRIM,OK,OK,N,N,N,N,N,N,N,S,S,S
TRY_CAST,OK,OK,N,N,N,N,S,S,S,S,S,S
TRY_CONVERT,NOK,OK,N,N,N,N,S,S,S,S,S,S
TRY_PARSE,NOK,NOK,N,N,N,N,S,S,S,S,S,S
TYPE_ID,NOK,NOK,S,S,S,S,S,S,S,S,S,S
TYPE_NAME,NOK,NOK,S,S,S,S,S,S,S,S,S,S
TYPEPROPERTY,NOK,NOK,S,S,S,S,S,S,S,S,S,S
UNICODE,OK,OK,S,S,S,S,S,S,S,S,S,S
UPPER,OK,OK,S,S,S,S,S,S,S,S,S,S
USER_ID,OK,OK,S,S,S,S,S,S,S,S,S,S
USER_NAME,OK,OK,S,S,S,S,S,S,S,S,S,S
VAR,OK,OK,S,S,S,S,S,S,S,S,S,S
VARP,OK,OK,S,S,S,S,S,S,S,S,S,S
VERSION,OK,NOK,S,S,S,S,S,S,S,S,S,S
XACT_STATE,OK,OK,S,S,S,S,S,S,S,S,S,S
YEAR,OK,OK,S,S,S,S,S,S,S,S,S,S
